longitud;latitud;precio
-75,57217188;6,20152371;919000000
-75,57217188;6,20152371;656370000
-75,5568241;6,20233894;1250000000
-75,59963739;6,24357286;470000000
-75,55363487;6,20337195;1250000000
-75,5625474;6,19350788;380000000
-75,59237355;6,2653339;230000000
-75,59237355;6,2653339;270000000
-75,59237355;6,2653339;280000000
-75,60087536;6,23844474;330000000
-75,60805774;6,25724335;140000000
-75,59532293;6,24566835;360000000
-75,59939631;6,24415889;250000000
-75,5847644;6,27339637;260000000
-75,58858765;6,26304781;245000000
-75,56023617;6,2074248;460000000
-75,56683332;6,22073006;368000000
-75,60596111;6,24343756;350000000
-75,57689971;6,19529845;450000000
-75,57914729;6,18846299;560000000
-75,60093328;6,23975714;204110000
-75,56667088;6,21306412;630000000
-75,55935115;6,19098468;1699322000
-75,57217188;6,20152371;620000000
-75,57217188;6,20152371;285000000
-75,57217188;6,20152371;375000000
-75,57217188;6,20152371;270000000
-75,57217188;6,20152371;800000000
-75,56120397;6,18782735;430000000
-75,57479712;6,1831239;450000000
-75,56841702;6,20622327;740000000
-75,6060328;6,23614191;215000000
-75,60700328;6,24478544;300000000
-75,56043466;6,20529266;360000000
-75,57558309;6,19710894;690000000
-75,55681623;6,18449576;1300000000
-75,56306771;6,20479574;445000000
-75,56833962;6,22204866;475000000
-75,54573164;6,26970918;490000000
-75,57558231;6,19678051;490000000
-75,56703992;6,2185298;398000000
-75,56976944;6,19710713;1300000000
-75,56592343;6,21452639;485000000
-75,56535533;6,24206357;320000000
-75,57011508;6,21700206;600000000
-75,58214298;6,24009476;260000000
-75,56881581;6,2179693;340000000
-75,54858367;6,20879139;380000000
-75,55836875;6,2377692;125000000
-75,54707012;6,22662477;126000000
-75,60206984;6,26206488;245000000
-75,58933255;6,25138716;175000000
-75,59985574;6,21387699;230000000
-75,57562289;6,19783688;630000000
-75,55173177;6,23017835;130000000
-75,57902847;6,23903395;330000000
-75,61261728;6,25755279;160000000
-75,61007814;6,24911809;137000000
-75,59327836;6,24444621;375000000
-75,56229704;6,25608096;185000000
-75,5765109;6,19923475;1690000000
-75,61008726;6,25232531;160000000
-75,59687396;6,24334298;540000000
-75,58205107;6,18844801;350000000
-75,59651593;6,22556284;160000000
-75,59901884;6,20288785;135000000
-75,61168116;6,25072346;135000000
-75,60087536;6,23844474;285000000
-75,57147633;6,1847331;400000000
-75,58407326;6,24216562;350000000
-75,57217188;6,20152371;540000000
-75,56326366;6,22891862;215000000
-75,60194401;6,21876559;425000000
-75,60087536;6,23844474;185000000
-75,60087536;6,23844474;185000000
-75,57217188;6,20152371;490000000
-75,56326366;6,22891862;215000000
-75,57217188;6,20152371;450000000
-75,57642808;6,19554301;749000000
-75,57217188;6,20152371;440000000
-75,56000414;6,20182691;1900000000
-75,57268573;6,18149398;480000000
-75,55759107;6,20663674;2500000000
-75,59905251;6,20447381;145000000
-75,56326714;6,20474027;640000000
-75,58978888;6,23393298;260000000
-75,60161303;6,27826469;90000000
-75,55816901;6,2003676;810000000
-75,58599793;6,23372246;355000000
-75,58633205;6,21199991;140000000
-75,5936522;6,275959;135000000
-75,58459205;6,21336653;240000000
-75,5816118;6,24287395;415000000
-75,57301932;6,20455068;4100000
-75,59921621;6,23623348;255000000
-75,57301932;6,20455068;850000000
-75,57301932;6,20455068;660000000
-75,60146777;6,21848105;465000000
-75,59381301;6,26416414;320000000
-75,5816118;6,24287395;298000000
