OBJECTID;DPTO_CCDGO;DPTO_CNMBR;Nombre;Homicidios;Celulares;Poblacion;PIB;Alumnos;Policias
28;91;AMAZONAS;Amazonas;14;70;77088;608;2203;185
1;5;ANTIOQUIA;Antioquia;1611;8217;6534857;119946;138998;16374
25;81;ARAUCA;Arauca;94;178;265190;4545;5819;1060
33;88;ARCHIPIELAGO DE SAN ANDRES;San Andrés y Providencia;12;207;77101;1343;1476;185
2;8;ATLANTICO;Atlántico;575;2120;2489514;36211;66207;3804
3;11;BOGOTA D.C.;Bogotá D. C.;1302;26660;7980001;221756;158419;19101
4;13;BOLIVAR;Bolívar;415;450;2121956;36003;54448;3243
5;15;BOYACA;Boyacá;97;772;1278107;25002;26024;3059
6;17;CALDAS;Caldas;204;1036;989934;12992;18506;3798
7;18;CAQUETA;Caquetá;123;637;483846;4154;9762;1614
26;85;CASANARE;Casanare;88;565;362721;12059;8866;1946
8;19;CAUCA;Cauca;278;1268;1391836;15253;23004;3996
9;20;CESAR;Cesar;172;839;1041204;15225;31138;1591
12;27;CHOCO;Chocó;181;184;505016;3692;11516;1265
10;23;CORDOBA;Córdoba;243;797;1736170;15201;43777;4350
11;25;CUNDINAMARCA;Cundinamarca;485;8955;2721368;45713;59913;6514
29;94;GUAINIA;Guainía;2;;42123;284;1134;226
30;95;GUAVIARE;Guaviare;18;12;112621;767;1677;604
13;41;HUILA;Huila;232;1885;1168869;15441;23575;3900
14;44;LA GUAJIRA;La Guajira;195;733;985452;8201;23753;1506
15;47;MAGDALENA;Magdalena;210;1121;1272442;11150;41686;1945
16;50;META;Meta;307;2337;979710;28693;21560;5256
17;52;NARI?O;Nariño;327;1301;1765906;13902;29606;5069
18;54;NORTE DE SANTANDER;Norte Santander;522;1094;1367708;14663;30846;5468
27;86;PUTUMAYO;Putumayo;108;176;349537;3161;6457;1166
19;63;QUINDIO;Quindío;269;1048;568506;6788;8726;2181
20;66;RISARALDA;Risaralda;289;1317;957254;13055;18022;3673
21;68;SANTANDER;Santander;282;3968;2071016;66559;44140;8279
22;70;SUCRE;Sucre;105;616;859913;7065;27503;1314
23;73;TOLIMA;Tolima;249;2125;1412220;18812;27035;4712
24;76;VALLE DEL CAUCA;Valle;2445;5920;4660741;83738;104240;13380
31;97;VAUPES;Vaupés;0;7;44079;237;355;236
32;99;VICHADA;Vichada;11;12;73702;456;1038;395
