Región,Localidad,Dirección Oficina,Teléfono,Horario Atención al Público,Buzón Zona de Profesionales,Latitud,Longitud
Metropolitana Norte,Barbosa,Clle 16 No. 15 - 31,4444115 - 01800415115,Lunes a viernes de 07:30 a. m. a 04:30 p.m. Jornada Continúa,epm@epm.com.co,6.438088412,-75.33070778
Oriente,La Ceja,Carrera 20 N° 18-68,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,6.029913231,-75.43152936
Oriente,Concepción,Av. Tulio Ospina No. 19-49,4444115 - 01800415115,"Martes, miércoles y jueves de 08:00 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.",epm@epm.com.co,6.395266552,-75.25919131
Metropolitana Sur,San Antonio de Prado,Calle 41 sur carrera 80 -47,4444115 - 01800415115,Lunes a viernes de 08:00 a.m. a 04:00 p.m.,epm@epm.com.co,6.173217788,-75.62988882
Suroeste,Santa Barbara,Carrera 51 N. 51 - 03,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 1:00 p.m. a 05:00 p.m.,epm@epm.com.co,5.874722,-75.566111
Oriente,La Unión,Carrera 8 No 12-27 local 2,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,5.97415884,-75.36144896
Urabá,Mutatá,Calle 10 No 08 - 28 Barrio Obrero,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,7.247537051,-76.43978658
Occidente,Peque,Calle  Candelaria N.  9-24,4444115 - 01800415115,"Jueves de 7:30 a.m. a 11: 30 a.m y de 1:00 p.m. a 5:00 p.m. 
Viernes de 7:30 a.m. a 11:30 a.m.",epm@epm.com.co,7.021941715,-75.90846464
Nordeste y MM.,San José del Nús,"Calle  del Comercio, salida a Caracolí.",4444115 - 01800415115,Martes y jueves de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,6.494562297,-74.8262469
Suroeste,La Pintada,Avenida 30 No 28 - 183,4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,epm@epm.com.co,5.747580375,-75.60697752
Metropolitana Sur,Itagui,Carrera 49 N. 52 - 53,4444115 - 01800415115,Lunes a viernes de 07:30 a. m. a 04:30 p. m. - Jornada continua,epm@epm.com.co,6.171817527,-75.6077437
Oriente,Abejorral,Carrera 51 # 50 -37 (EDATEL),4444115 - 01800415115,Lunes a viernes de 07:30 a.m. a 11:30 a.m. y de 01:00 p.m. a 05:00 p.m.,Servicio.Cliente.Oriente@epm.com.co,5.791056682,-75.42733024
