NIT;FECHA CORTE;DURACION;(+/-) Ganancia (pérdida);(+/-) Ajustes por gastos por impuestos a las ganancias;( + ) Ajustes por gastos de depreciación y amortización;(+/-) Ajustes por deterioro de valor (reversiones de pérdidas por deterioro de valor) reconocidas en el resultado del periodo;(+) Ajustes por provisiones;(+) Ajustes por costos financieros;(+/-) Ajustes por pérdidas (ganancias) de moneda extranjera no realizadas;(+/-) Ajustes por pérdidas (ganancias) del valor razonable;(-) Ajustes por ganancias no distribuidas de asociadas;(+/-) Ajustes por pérdidas (ganancias) por la disposición de activos no corrientes;(+/-) Otros ajustes para conciliar la ganancia (pérdida);Total ajustes para conciliar la ganancia (pérdida);(+/-) Ajustes por disminuciones (incrementos) en los inventarios;(+/-) Ajustes por la disminución (incremento) de cuentas por cobrar de origen comercial;(+/-) Ajustes por disminuciones (incrementos) en otras cuentas por cobrar derivadas de las actividades de operación;(+/-) Ajustes por el incremento (disminución) de cuentas por pagar de origen comercial;(+/-) Ajustes por incrementos (disminuciones) en otras cuentas por pagar derivadas de las actividades de operación;(+/-) Otras entradas (salidas) de efectivo;Flujos de efectivo netos procedentes de (utilizados en) actividades de operación;(+) Flujos de efectivo procedentes de la pérdida de control de subsidiarias u otros negocios;(-) Flujos de efectivo utilizados para obtener el control de subsidiarias u otros negocios;(+) Otros cobros por la venta de patrimonio o instrumentos de deuda de otras entidades;(-) Otros pagos para adquirir patrimonio o instrumentos de deuda de otras entidades;(+) Otros cobros por la venta de participaciones en negocios conjuntos;(-) Otros pagos para adquirir participaciones en negocios conjuntos;(+) Importes procedentes de la venta de propiedades, planta y equipo;(-) Compras de propiedades, planta y equipo;(+) Importes procedentes de ventas de activos intangibles;(-) Compras de activos intangibles;(+) Recursos por ventas de otros activos a largo plazo;(-) Compras de otros activos a largo plazo;(-) Pagos derivados de contratos de futuro, a término, de opciones y de permuta financiera;(+) Cobros procedentes de contratos de futuro, a término, de opciones y de permuta financiera;(+) Dividendos recibidos;(+) Intereses recibidos;(+/-) Otras entradas (salidas) de efectivo;Flujos de efectivo netos procedentes de (utilizados en) actividades de inversión;(+) Importes procedentes de aumento de capital y/o recolocación de acciones;(-) Disminución de capital social y/o readquisición de acciones;(-) Pagos por otras participaciones en el patrimonio;(+) Importe procedente del aumento prima por emisión;(-) Disminución de prima por emisión;(+) Importes procedentes de préstamos;(-) Reembolsos de préstamos;(-) Pagos de pasivos por arrendamientos financieros;(-) Dividendos pagados;(-) Intereses pagados;(+/-) Otras entradas (salidas) de efectivo;Flujos de efectivo netos procedentes de (utilizados en) actividades de financiación;Incremento (disminución) neto de efectivo y equivalentes al efectivo, antes del efecto de los cambios en la tasa de cambio;(+/-) Efectos de la variación en la tasa de cambio sobre el efectivo y equivalentes al efectivo;Incremento (disminución) neto de efectivo y equivalentes al efectivo;Efectivo y equivalentes al efectivo al principio del periodo;Efectivo y equivalentes al efectivo al final del periodo
800000090;31/12/2016;2016;12469;;167834;;;;;;;66795;;234629;-17838;-182132;;-42904;228693;38158;271075;;;4500;;;;;133033;;;;;;;;;-150461;-278994;;;;;;;;;;;;;-7919;;-7919;23134;15215
800000268;31/12/2016;2016;15955;-12380;126463;;;;;;;;;114083;4076;0;-3341;73974;-228532;;-23785;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-23785;;-23785;220875;197090
800000276;31/12/2016;2016;268204;783188;3497579;0;0;0;0;0;0;0;0;4280767;3559552;-2177148;0;-4545023;1901623;5328470;8616445;;;;;;;;16722032;;;;;;;;;;-16722032;9733647;;;;;;;;617609;;-837625;8278413;172826;0;172826;1951397;2124223
800000313;31/12/2016;2016;17134;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
800000439;31/12/2016;2016;191601;103240;22530;;;;;;;;;125770;-75317;-88114;;96090;330632;0;580662;;;;;;;;;;;;;;;;;;;;;;;;206145;;;334118;147659;100444;-175188;405474;;405474;86895;492369
800000457;31/12/2016;2016;287568;;244707;;;;;;;;;244707;;255776;;;;;788051;;;;44704;;;;5500;;;;;220000;;;;;-270204;;;1314573;;;;481749;;;;;-1796322;-1278475;;-1278475;1669793;391318
800000750;31/12/2016;2016;229875272;;;;;;;;;;;;;;;;;;229875272;;;;;;;;;;;;;;;;;;;;;;;;;;;;;-230805489;-230805489;-930217;;-930217;3579274;2649057
800000835;31/12/2016;2016;128783;-8010;74630;;;;;;;;;66620;-434006;-345167;;242581;;415203;74014;;;;;;;;;;;;;;;;;;;;;;;;;;;;;105535;105535;179549;;179549;1892850;2072399
800001020;31/12/2016;2016;2267513;;36422;;;;;;;;;36422;-383001;-1059523;;-27;409619;;1271003;;;;;;;;2339;;25990;;;;;;;-26869;-55198;;;;;;;;;;;;;1215805;;1215805;18636228;19852033
800001047;31/12/2016;2016;491384;238838;14202;;;;;;;;;253040;-283933;36269;;-238489;25780;;284051;;;;;;;;26174;;;;;;;;;;-26174;;;3044;;;;;;252329;;-238838;-494211;-236334;;-236334;1633287;1396953
800001075;31/12/2016;2016;-563964;5218;605307;;;1791492;;;;;;2402017;;;;;;;1838053;;;;;;;;;;;;;;;;;-1840266;-1840266;;;;;;;;;;;;;-2213;;-2213;15772;13559
800001266;31/12/2016;2016;149322;;;;;;;;;;;;;;;;;;149322;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;149322;;149322;;
800001351;31/12/2016;2016;-104506;;40242;-102805;;;;376917;;;-58987;255367;;3572979;-16566;-1173120;;;2534154;;;;;;;;2788;;;;;;;;703675;;700887;;;;;;206801;;;3005614;;;-2798813;436228;;436228;931612;1367840
