Nit;Fecha Corte;Duracion;Ingresos de actividades ordinarias;Costo de ventas;Ganancia bruta;Otros ingresos;Gastos de ventas;Gastos de administración;Otros gastos;Otras ganancias (pérdidas);Ganancia (pérdida) por actividades de operación;Ingresos financieros;Costos financieros;Ganancia (pérdida), antes de impuestos;Ingreso (gasto) por impuestos;Ganancia (pérdida) procedente de operaciones continuadas;Ganancia (pérdida) procedente de operaciones discontinuadas;Ganancia (pérdida)
830010665;31/12/2016;2016;2043725;;2043725;710216;;1085768;1163816;;504357;;;504357;487090;17267;;17267
900141261;31/12/2016;2016;0;0;0;4760;0;1608;1393;0;1759;0;0;1759;699;1060;0;1060
830084329;31/12/2016;2016;3745753;8348254;-4602501;1202;;1524;22;;-4602845;;;-4602845;-455776;-4147069;;-4147069
900206267;31/12/2016;2016;2553271;671247;1882024;12522;9268;966097;41919;;877262;1264820;1940794;201288;-168543;369831;0;369831
830004521;31/12/2016;2016;2579165;1045305;1533860;15162;347474;373391;67797;0;760360;0;142723;617637;246729;370908;0;370908
830018716;31/12/2016;2016;3694469;2994275;700194;3397;147529;465195;3816;;87051;3840;26419;64472;25083;39389;;39389
900278276;31/12/2016;2016;9927764;6493639;3434125;281063;1533;1462365;8630;;2242660;;119530;2123130;521546;1601584;;1601584
800083532;31/12/2016;2016;11278464;5768725;5509739;78200;4506601;772799;38732;0;269807;17460;107157;180110;88833;91277;0;91277
830047479;31/12/2016;2016;2680982;1854640;826342;47886;49609;716197;79149;0;29273;36851;0;66124;22482;43642;0;43642
800078640;31/12/2016;2016;12469735;7716297;4753438;111471;1525435;1032125;0;0;2307349;0;0;2307349;1007109;1300240;0;1300240
830110405;31/12/2016;2016;2880898;2070069;810829;3756;0;426505;11991;0;376089;0;90435;285654;126346;159308;0;159308
830069752;31/12/2016;2016;5548682;222682;5326000;64510;73592;3779183;14802;;1522933;20392;40696;1502629;562738;939891;;939891
860032030;31/12/2016;2016;3867732;3520449;347283;3944262;13151;;277550;;4000844;;;4000844;139451;3861393;;3861393
890913810;31/12/2016;2016;2994041;2222971;771070;0;376847;181888;1345673;;-1133338;7801;71816;-1197353;81699;-1279052;;-1279052
819004438;31/12/2016;2016;1969440;1106345;863095;0;457783;76461;270349;;58502;;;58502;;58502;;58502
860020240;31/12/2016;2016;18101974;11284728;6817246;126392;2752265;1423898;60948;;2706527;871221;596638;2981110;1196411;1784699;;1784699
800104215;31/12/2016;2016;10955996;9446794;1509202;0;;642995;4172;4752;866787;;128283;738504;255817;482687;0;482687
890901580;31/12/2016;2016;679308;305874;373434;25315;;860029;4998;;-466278;;220441;-686719;156532;-843251;;-843251
800225742;31/12/2016;2016;9211547;4238965;4972582;602744;3610632;560554;315841;;1088299;;;1088299;411981;676318;;676318
900616703;31/12/2016;2016;5078561;3085315;1993246;435427;0;1113541;3105;0;1312027;0;452627;859400;180951;678449;0;678449
800216276;31/12/2016;2016;3683986;3077682;606304;12314;;354617;40302;;223699;;;223699;97286;126413;;126413
890910102;31/12/2016;2016;859980;;859980;6673;;624886;17810;;223957;;;223957;192239;31718;;31718
891701230;31/12/2016;2016;0;0;0;50889;;43913;458914;;-451938;;4;-451942;30486;-482428;;-482428
900273006;31/12/2016;2016;5341740;3995390;1346350;49815;684570;;65890;;645705;;108059;537646;203299;334347;;334347
800046939;31/12/2016;2016;1344918;25596;1319322;0;;659423;34508;;625391;;;625391;30803;594588;;594588
