Nit;Fecha Corte;Duracion;Ganancia (pérdida);Otro resultado integral, neto de impuestos, ganancias (pérdidas) por revaluación;Total otro resultado integral que no se reclasificará al resultado del periodo, neto de impuestos;Total otro resultado integral;Resultado integral total;Otro resultado integral, neto de impuestos, diferencias de cambio por conversión;Otro resultado integral, neto de impuestos, ganancias (pérdidas) actuariales por planes de beneficios definidos;Ganancias (pérdidas) por coberturas de flujos de efectivo, neto de impuestos;Total otro resultado integral que se reclasificará al resultado del periodo, neto de impuestos
800000090;31/12/2016;2016;12469;0;0;0;12469;0;0;0;0
800000268;31/12/2016;2016;15955;;;;15955;;;;
800000276;31/12/2016;2016;268204;;;0;268204;;;0;0
800000313;31/12/2016;2016;17134;0;0;0;17134;0;0;0;0
800000439;31/12/2016;2016;191601;;;;191601;;;;
800000457;31/12/2016;2016;287568;42936;42936;42936;330504;0;0;0;0
800000750;31/12/2016;2016;229875272;;;;;;;;
800000835;31/12/2016;2016;128783;;;;;;;;
800001020;31/12/2016;2016;2267513;;0;0;2267513;0;;;
800001047;31/12/2016;2016;491384;;;;;;;;
800001075;31/12/2016;2016;-563964;;;;;;;;
800001266;31/12/2016;2016;149322;0;0;0;149322;0;0;0;0
800001351;31/12/2016;2016;-104506;;;;-104506;;;;
800001354;31/12/2016;2016;180592;;;;;;;;
800001611;31/12/2016;2016;216014;;;;;;;;
800001650;31/12/2016;2016;-61491;;;;;;;;
800001755;31/12/2016;2016;38872;;;;38872;;;;
800001792;31/12/2016;2016;-993925;;;;;;;;
800001845;31/12/2016;2016;2048294;;;2048294;4096588;;;2048294;2048294
800002143;31/12/2016;2016;1520662;;;;1520662;;;;
800002303;31/12/2016;2016;25333;;;;;;;;
800002448;31/12/2016;2016;34541;;;;34541;;;;
800002538;31/12/2016;2016;-124834;;;;;;;;
800002609;31/12/2016;2016;354964;0;0;0;354964;0;0;0;0
800002725;31/12/2016;2016;237086;;;;;;;;
800002784;31/12/2016;2016;76400;;;;;;;;
800002981;31/12/2016;2016;10893364;;;;10893364;;;;
800002985;31/12/2016;2016;186992;;;;;;;;
800003193;31/12/2016;2016;59867;0;0;0;59867;0;0;0;0
800003215;31/12/2016;2016;1352285;;;;;;;;
800003367;31/12/2016;2016;253307;;;;;;;;
800003383;31/12/2016;2016;307544;;;;;;;;
800003454;31/12/2016;2016;1141384;;;;;;;;
800003719;31/12/2016;2016;-146176;;;;;;;;
800003776;31/12/2016;2016;864277;0;0;0;864277;0;0;0;0
800003781;31/12/2016;2016;878460;0;0;0;878460;0;0;0;0
800003895;31/12/2016;2016;184570;0;0;0;184570;0;0;0;0
800003896;31/12/2016;2016;57462;;;;;;;;
800004048;31/12/2016;2016;480008;;;;;;;;
800004254;31/12/2016;2016;361845;;;;;;;;
800004605;31/12/2016;2016;44438;;;;44438;;;;
800004663;31/12/2016;2016;808269;;;;;;;;
800004679;31/12/2016;2016;395921;;;;;;;;
800004711;31/12/2016;2016;573964;;;;;;;;
800004800;31/12/2016;2016;5343711;1391123;1391123;1391123;6734834;0;0;0;0
800004812;31/12/2016;2016;15151;;;;;;;;
800004816;31/12/2016;2016;-3912;;;;;;;;
800004865;31/12/2016;2016;261009;;;;;;;;
800005009;31/12/2016;2016;186513;;;;186513;;;;
800005311;31/12/2016;2016;1471889;;;;1471889;;;;
800005423;31/12/2016;2016;396913;0;0;0;396913;0;0;;
800005591;31/12/2016;2016;61343;-393590;-393590;-393590;-332247;0;0;0;0
800005736;31/12/2016;2016;1939579;;;;1939579;;;;
800005751;31/12/2016;2016;456916;;;;;;;;
800006286;31/12/2016;2016;802453;0;0;0;802453;0;0;0;0
800006332;31/12/2016;2016;344832;;;;;;;;
800006583;31/12/2016;2016;4036569;;;;4036569;;;;
800006608;31/12/2016;2016;1168794;;;;;;;;
800006785;31/12/2016;2016;1471783;;;;;;;;
800006911;31/12/2016;2016;1237746;;;;;;;;
800006962;31/12/2016;2016;-12541;;;;;;;;
800007113;31/12/2016;2016;12750;;;;;;;;
800007122;31/12/2016;2016;682281;0;0;0;682281;0;0;0;0
800007208;31/12/2016;2016;487601;0;0;0;487601;0;0;0;0
800007238;31/12/2016;2016;101156;;;;101156;;;;
800007287;31/12/2016;2016;167176;0;0;25574;192750;0;0;25574;25574
800007310;31/12/2016;2016;144940;;;;;;;;
800007350;31/12/2016;2016;356052;;;;356052;;;;
800007355;31/12/2016;2016;851660;;;;851660;;;;
800007367;31/12/2016;2016;1458880;;;;1458880;;;;
800007370;31/12/2016;2016;469238;;;;;;;;
800007473;31/12/2016;2016;24391;0;0;0;24391;0;0;0;0
800007673;31/12/2016;2016;-130423;8990;8990;8990;-121433;;;;
800007983;31/12/2016;2016;806172;0;0;0;806172;0;0;0;0
800008206;31/12/2016;2016;107192;;;;;;;;
800008307;31/12/2016;2016;3215664;0;0;0;3215664;0;0;0;0
800008324;31/12/2016;2016;36674;;;;;;;;
800008538;31/12/2016;2016;1214863;0;0;0;1214863;0;0;0;0
800008639;31/12/2016;2016;46350;0;0;0;46350;0;0;0;0
800008677;31/12/2016;2016;201695;;;;;;;;
800008737;31/12/2016;2016;192245;0;0;0;192245;0;0;0;0
800008788;31/12/2016;2016;416270;0;0;0;416270;0;0;0;0
800008801;31/12/2016;2016;111053;;;;;;;;
800008826;31/12/2016;2016;128995;1639769;1639769;1639769;1768764;;;;
800008830;31/12/2016;2016;347848;;413176;413176;761024;;413176;;
